date,title,icon
2025/12/09,有酸素運動目標を超過,⚠️
2025/12/09,飲んだ「ファンタ オレンジ」,🥤
2025/12/09,1万歩を超えた,🚶🏻‍➡️
2025/12/08,睡眠スコアが悪い,💀
2025/12/08,1万歩を超えた,🚶🏻‍➡️
2025/12/07,有酸素運動目標を達成,✅
2025/12/07,飲んだ「コカ・コーラ ゼロ」,🥤
2025/12/07,1万歩を超えた,🚶🏻‍➡️
2025/12/06,日記を始めた,😊
2025/12/06,5000歩以下,😪
2026/03/03,5000歩以下,😪
2026/02/15,5000歩以下,😪
2026/02/16,5000歩以下,😪
2026/02/05,5000歩以下,😪
2026/01/21,5000歩以下,😪
2026/01/04,鍋,🍲
2026/01/04,1万歩を超えた,🚶🏻‍➡️
2025/12/30,鍋,🍲
2025/12/30,1万歩を超えた,🚶🏻‍➡️
2025/12/12,1万歩を超えた,🚶🏻‍➡️
2025/12/14,1万歩を超えた,🚶🏻‍➡️
2025/12/17,1万歩を超えた,🚶🏻‍➡️
2025/12/18,1万歩を超えた,🚶🏻‍➡️
2025/12/26,1万歩を超えた,🚶🏻‍➡️
2025/12/28,1万歩を超えた,🚶🏻‍➡️
2025/12/29,1万歩を超えた,🚶🏻‍➡️
2026/01/02,1万歩を超えた,🚶🏻‍➡️
2026/01/06,1万歩を超えた,🚶🏻‍➡️
2026/01/07,1万歩を超えた,🚶🏻‍➡️
2026/01/10,1万歩を超えた,🚶🏻‍➡️
2026/01/13,1万歩を超えた,🚶🏻‍➡️
2026/01/15,1万歩を超えた,🚶🏻‍➡️
2026/01/23,1万歩を超えた,🚶🏻‍➡️
2026/01/25,1万歩を超えた,🚶🏻‍➡️
2026/01/28,1万歩を超えた,🚶🏻‍➡️
2026/02/06,1万歩を超えた,🚶🏻‍➡️
2026/02/10,1万歩を超えた,🚶🏻‍➡️
2026/02/24,1万歩を超えた,🚶🏻‍➡️
2026/02/25,1万歩を超えた,🚶🏻‍➡️
